300,0.173
301,0.194
302,0.186
303,0.316
304,0.329
305,0.368
306,0.305
307,0.409
308,0.450
309,0.429
310,0.373
311,0.638
312,0.553
313,0.611
314,0.670
315,0.613
316,0.435
317,0.607
318,0.525
319,0.586
320,0.606
321,0.529
322,0.533
323,0.401
324,0.454
325,0.469
326,0.584
327,0.549
328,0.482
329,0.480
330,0.519
331,0.609
332,0.661
333,0.652
334,0.709
335,0.731
336,0.673
337,0.690
338,0.837
339,0.985
340,1.125
341,1.034
342,1.172
343,1.277
344,1.060
345,1.209
346,1.213
347,1.408
348,1.371
349,1.352
350,1.634
351,1.720
352,1.760
353,1.740
354,2.066
355,2.124
356,1.922
357,1.556
358,1.573
359,1.643
360,2.395
361,1.723
362,1.693
363,2.550
364,2.545
365,2.263
366,3.133
367,2.803
368,2.694
369,2.748
370,3.228
371,2.626
372,2.625
373,2.819
374,2.431
375,1.952
376,2.452
377,2.892
378,3.457
379,2.837
380,2.425
381,3.119
382,2.351
383,1.702
384,1.658
385,2.568
386,1.980
387,2.349
388,2.122
389,2.093
390,2.708
391,2.832
392,2.568
393,1.410
394,1.517
395,2.434
396,2.336
397,0.912
398,2.434
399,2.724
400,2.756
401,2.744
402,2.731
403,2.607
404,2.580
405,3.210
406,2.922
407,3.037
408,2.683
409,3.032
410,2.313
